content_id,country_id
1,1
2,2
5,3
8,1
8,4
8,5
8,6
8,7
8,8
9,6
10,1
13,7
13,9
16,1
18,10
22,11
25,3
26,12
28,1
29,1
30,1
30,3
30,13
33,6
38,14
39,15
39,16
39,1
40,3
41,1
42,1
43,1
44,1
45,1
47,2
47,1
47,17
49,1
50,18
51,3
52,17
53,17
54,17
55,17
56,1
57,17
58,17
59,17
60,17
61,17
62,17
63,17
64,17
66,6
67,3
68,1
70,3
73,6
74,18
77,17
82,1
83,1
85,18
91,19
91,1
92,13
93,20
95,6
95,1
96,1
96,6
97,1
98,1
99,6
100,13
100,1
102,1
105,21
106,3
107,1
108,1
109,12
110,19
112,1
112,22
115,3
116,6
116,12
116,13
117,3
118,6
118,1
119,3
121,12
123,6
123,12
123,13
123,1
125,21
126,1
127,3
128,1
128,16
130,7
130,1
132,1
134,2
134,1
135,1
135,10
136,1
136,23
136,13
136,17
137,1
137,23
137,24
137,6
138,12
138,1
139,1
140,1
141,25
141,26
142,1
142,6
142,16
143,7
143,1
144,1
145,1
146,1
147,1
150,1
151,1
152,15
152,27
153,1
154,28
155,17
156,6
156,1
157,1
158,16
159,1
160,27
161,1
162,1
163,1
163,15
163,27
164,1
165,1
167,23
167,1
168,1
168,16
169,1
170,1
171,1
172,1
173,1
173,7
174,1
175,1
176,1
177,1
178,6
178,1
179,1
180,1
183,1
184,1
185,1
189,13
191,3
192,6
192,16
192,1
193,3
194,21
196,3
199,18
200,3
201,3
202,3
203,3
204,3
205,3
206,3
207,3
208,3
209,3
210,3
211,3
212,3
213,29
216,3
217,3
218,3
220,17
221,1
228,1
229,1
229,6
230,1
232,1
233,1
234,6
242,1
248,1
252,1
254,3
255,1
260,3
260,30
264,1
265,1
266,17
267,3
268,31
268,12
268,13
268,1
270,23
271,23
271,32
271,33
272,1
273,1
274,13
275,1
276,25
277,19
278,34
279,35
280,1
280,17
281,1
282,18
283,10
284,20
284,6
285,6
285,1
286,36
286,6
286,12
287,1
289,35
290,21
291,1
292,17
293,6
294,2
296,1
297,37
297,1
298,3
299,18
300,13
301,16
301,1
302,3
303,32
304,25
305,6
306,25
306,19
307,18
308,1
309,1
311,1
312,10
313,1
314,38
315,1
316,1
316,18
317,38
318,1
320,38
322,38
323,38
324,1
325,23
326,1
327,1
328,1
328,6
329,39
329,1
330,1
330,16
331,1
331,16
333,1
333,10
334,1
335,1
336,1
338,1
338,16
339,17
341,1
341,6
342,1
343,1
344,1
345,1
346,1
346,16
347,1
348,19
348,6
348,1
349,6
349,1
350,1
351,1
352,1
352,7
353,1
353,15
354,1
355,1
356,1
357,1
357,13
358,19
358,13
358,6
358,1
359,1
360,1
361,1
362,1
366,13
366,40
367,6
371,1
375,18
378,41
379,1
381,1
383,1
384,3
386,7
387,1
387,16
390,13
390,37
390,7
390,1
390,6
391,1
392,16
392,1
393,1
394,12
402,19
403,6
404,1
411,3
416,3
426,1
427,31
430,18
434,1
435,25
437,42
438,1
440,43
441,1
443,1
443,16
446,1
447,1
448,1
449,1
450,1
451,1
452,1
453,44
454,17
457,21
458,45
458,46
458,7
460,1
461,1
461,16
463,1
464,23
470,1
470,16
473,1
474,1
475,1
475,36
478,1
479,7
487,27
487,16
487,1
489,1
490,47
490,1
492,1
493,1
494,1
494,17
495,1
497,13
497,16
497,1
497,19
500,1
503,18
504,41
507,12
509,13
509,48
509,22
510,1
511,16
512,1
513,13
513,20
514,1
515,6
516,6
517,43
518,17
519,3
520,6
521,1
522,16
523,28
524,6
525,17
526,1
526,16
527,1
528,29
528,1
528,6
529,3
530,45
531,1
532,49
533,1
534,37
535,44
536,16
537,12
538,17
539,6
540,12
540,31
541,6
541,7
542,3
543,3
544,20
544,48
545,16
546,21
548,1
549,1
552,3
554,13
555,18
556,21
556,9
557,21
558,12
558,1
559,1
560,1
560,7
562,1
563,1
564,1
565,1
566,12
566,7
567,1
567,7
568,1
569,1
570,50
573,6
573,20
574,1
574,15
575,1
575,15
576,1
577,6
577,12
577,1
579,13
579,17
579,1
580,1
582,1
583,1
584,1
584,6
585,1
586,6
586,1
589,1
590,6
592,1
593,1
594,1
595,1
595,7
596,7
596,1
597,1
598,1
599,1
599,6
600,1
601,1
602,1
603,1
604,1
605,6
605,7
605,19
605,1
606,1
607,6
607,1
607,13
607,23
608,1
609,1
609,7
609,16
610,1
610,13
610,23
610,6
611,1
611,6
611,7
611,51
612,1
612,16
613,1
613,31
614,18
615,1
615,31
616,1
618,52
619,1
621,1
623,1
